airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Multiple Carriers,2019-03-03,Delhi,Cochin,16:00:00,01:35:00,575,1.0,No Info,21226
Indigo,2019-06-24,Delhi,Cochin,15:10:00,20:00:00,290,1.0,No Info,6147
Spicejet,2019-06-21,Banglore,Delhi,09:30:00,12:20:00,170,0.0,No Info,3625
Indigo,2019-04-24,Kolkata,Banglore,19:35:00,00:10:00,275,1.0,No Info,4860
Air India,2019-04-01,Delhi,Cochin,20:40:00,09:25:00,765,1.0,No Info,5117
Goair,2019-06-09,Kolkata,Banglore,23:30:00,07:45:00,495,1.0,No Info,6354
Air India,2019-06-01,Delhi,Cochin,10:55:00,19:15:00,500,2.0,No Info,13013
Air India,2019-03-24,Mumbai,Hyderabad,19:30:00,20:45:00,75,0.0,No Info,2575
Air India,2019-05-09,Delhi,Cochin,07:05:00,07:40:00,1475,2.0,No Info,13547
Multiple Carriers,2019-03-21,Delhi,Cochin,04:45:00,12:35:00,470,1.0,No Info,9838
Multiple Carriers,2019-05-01,Delhi,Cochin,19:00:00,01:30:00,390,1.0,No Info,9424
Jet Airways,2019-05-01,Kolkata,Banglore,09:35:00,23:35:00,840,1.0,No Info,13067
Vistara,2019-04-12,Banglore,Delhi,11:30:00,14:20:00,170,0.0,No Info,5403
Jet Airways,2019-03-21,Delhi,Cochin,06:20:00,04:25:00,1325,2.0,In-flight meal not included,8273
Indigo,2019-05-06,Chennai,Kolkata,22:05:00,00:25:00,140,0.0,No Info,5277
Indigo,2019-03-21,Banglore,New Delhi,19:35:00,00:35:00,300,1.0,No Info,6575
Indigo,2019-05-15,Delhi,Cochin,05:35:00,08:50:00,195,0.0,No Info,6015
Multiple Carriers,2019-06-09,Delhi,Cochin,13:00:00,21:00:00,480,1.0,No Info,13587
Indigo,2019-03-09,Kolkata,Banglore,15:20:00,17:55:00,155,0.0,No Info,4148
Indigo,2019-06-21,Kolkata,Banglore,17:15:00,19:50:00,155,0.0,No Info,4804
Jet Airways,2019-05-18,Kolkata,Banglore,14:05:00,20:45:00,400,1.0,In-flight meal not included,10844
Jet Airways,2019-06-09,Delhi,Cochin,09:40:00,19:00:00,560,2.0,In-flight meal not included,10368
Jet Airways,2019-04-21,Banglore,Delhi,07:10:00,10:10:00,180,0.0,No Info,7229
Indigo,2019-03-03,Kolkata,Banglore,14:20:00,16:55:00,155,0.0,No Info,6565
Indigo,2019-05-18,Delhi,Cochin,09:15:00,01:30:00,975,1.0,No Info,7503
Jet Airways,2019-03-18,Banglore,New Delhi,21:25:00,09:00:00,695,1.0,No Info,13555
Multiple Carriers,2019-05-15,Delhi,Cochin,04:55:00,12:35:00,460,1.0,No Info,9103
Jet Airways,2019-04-01,Delhi,Cochin,10:00:00,19:00:00,540,1.0,In-flight meal not included,5406
Indigo,2019-03-06,Delhi,Cochin,08:35:00,21:20:00,765,2.0,No Info,7682
Multiple Carriers,2019-05-15,Delhi,Cochin,07:10:00,16:10:00,540,1.0,No Info,6513
Multiple Carriers,2019-05-27,Delhi,Cochin,08:45:00,19:15:00,630,1.0,No Info,10051
Jet Airways,2019-06-09,Kolkata,Banglore,08:25:00,18:15:00,590,1.0,In-flight meal not included,10844
Multiple Carriers,2019-05-15,Delhi,Cochin,10:20:00,19:15:00,535,1.0,No Info,8266
Jet Airways,2019-06-06,Kolkata,Banglore,18:55:00,16:20:00,1285,1.0,In-flight meal not included,10844
Indigo,2019-06-15,Chennai,Kolkata,05:15:00,07:40:00,145,0.0,No Info,3540
Multiple Carriers,2019-06-27,Delhi,Cochin,08:45:00,19:15:00,630,1.0,No Info,8266
Jet Airways,2019-06-06,Kolkata,Banglore,08:25:00,18:15:00,590,1.0,No Info,14571
Multiple Carriers,2019-03-27,Delhi,Cochin,06:00:00,15:30:00,570,1.0,No Info,7845
Spicejet,2019-06-06,Kolkata,Banglore,17:10:00,19:40:00,150,0.0,No Info,3873
Jet Airways,2019-05-18,Delhi,Cochin,19:45:00,04:25:00,520,1.0,In-flight meal not included,12373
Spicejet,2019-05-06,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,No check-in baggage included,3841
Jet Airways,2019-04-21,Banglore,Delhi,15:15:00,18:10:00,175,0.0,No Info,7229
Air India,2019-04-18,Delhi,Cochin,14:10:00,17:10:00,180,0.0,No Info,6094
Air Asia,2019-05-15,Banglore,Delhi,23:55:00,02:45:00,170,0.0,No Info,3383
Indigo,2019-03-03,Delhi,Cochin,06:40:00,13:20:00,400,1.0,No Info,14871
Multiple Carriers,2019-03-06,Delhi,Cochin,07:10:00,22:20:00,910,1.0,In-flight meal not included,7563
Jet Airways,2019-06-09,Delhi,Cochin,07:05:00,04:25:00,1280,1.0,In-flight meal not included,10262
Vistara,2019-06-12,Kolkata,Banglore,20:20:00,10:45:00,865,1.0,No Info,8452
Multiple Carriers,2019-03-27,Delhi,Cochin,11:40:00,18:50:00,430,1.0,No Info,11421
Spicejet,2019-06-12,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No check-in baggage included,3841
Indigo,2019-06-06,Delhi,Cochin,17:05:00,22:25:00,320,1.0,No Info,6493
Air India,2019-06-27,Delhi,Cochin,13:15:00,09:25:00,1210,2.0,No Info,8839
Indigo,2019-06-27,Delhi,Cochin,10:35:00,01:30:00,895,1.0,No Info,5684
Jet Airways,2019-06-15,Banglore,Delhi,11:10:00,14:05:00,175,0.0,No Info,8016
Jet Airways,2019-03-27,Mumbai,Hyderabad,07:10:00,08:35:00,85,0.0,No Info,8040
Indigo,2019-06-03,Delhi,Cochin,10:35:00,21:00:00,625,1.0,No Info,6093
Air India,2019-05-21,Kolkata,Banglore,12:00:00,21:50:00,590,2.0,No Info,10151
Multiple Carriers,2019-05-21,Delhi,Cochin,08:30:00,19:00:00,630,1.0,No Info,9627
Jet Airways,2019-06-06,Delhi,Cochin,11:30:00,19:00:00,450,1.0,No Info,14714
Air India,2019-03-15,Banglore,New Delhi,08:15:00,11:20:00,1625,2.0,No Info,8534
Air India,2019-06-06,Delhi,Cochin,20:15:00,19:15:00,1380,2.0,No Info,13591
Jet Airways,2019-04-01,Kolkata,Banglore,16:30:00,19:50:00,1640,1.0,In-flight meal not included,7064
Vistara,2019-06-03,Banglore,Delhi,19:30:00,22:15:00,165,0.0,No Info,4878
Indigo,2019-04-06,Banglore,Delhi,13:00:00,15:50:00,170,0.0,No Info,4423
Air Asia,2019-05-01,Kolkata,Banglore,22:50:00,01:20:00,150,0.0,No Info,4409
Jet Airways,2019-05-24,Kolkata,Banglore,20:00:00,19:50:00,1430,1.0,In-flight meal not included,10844
Jet Airways,2019-05-18,Banglore,Delhi,18:55:00,22:00:00,185,0.0,In-flight meal not included,5198
Jet Airways,2019-06-24,Mumbai,Hyderabad,02:55:00,04:20:00,85,0.0,No Info,5678
Multiple Carriers,2019-06-12,Delhi,Cochin,12:50:00,01:30:00,760,1.0,No Info,6795
Jet Airways,2019-06-09,Delhi,Cochin,21:25:00,19:00:00,1295,2.0,No Info,13292
Indigo,2019-04-03,Mumbai,Hyderabad,02:35:00,04:05:00,90,0.0,No Info,2754
Jet Airways,2019-03-18,Banglore,New Delhi,07:00:00,13:15:00,375,1.0,No Info,12284
Spicejet,2019-05-09,Banglore,Delhi,05:55:00,08:35:00,160,0.0,No check-in baggage included,3573
Multiple Carriers,2019-06-24,Delhi,Cochin,10:35:00,19:15:00,520,1.0,No Info,7155
Indigo,2019-03-03,Banglore,New Delhi,14:25:00,19:25:00,300,1.0,No Info,11873
Multiple Carriers,2019-06-12,Delhi,Cochin,10:20:00,19:15:00,535,1.0,No Info,8266
Jet Airways,2019-05-01,Kolkata,Banglore,21:10:00,04:40:00,450,1.0,No Info,14781
Jet Airways,2019-06-27,Delhi,Cochin,18:15:00,19:00:00,1485,1.0,In-flight meal not included,10262
Indigo,2019-06-06,Kolkata,Banglore,04:40:00,07:15:00,155,0.0,No Info,4804
Spicejet,2019-04-12,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No check-in baggage included,3841
Air India,2019-05-21,Kolkata,Banglore,09:25:00,21:50:00,745,1.0,No Info,8366
Jet Airways,2019-05-01,Banglore,Delhi,15:15:00,18:10:00,175,0.0,No Info,7229
Jet Airways,2019-05-15,Kolkata,Banglore,09:35:00,22:05:00,750,1.0,In-flight meal not included,10703
Multiple Carriers,2019-05-18,Delhi,Cochin,10:35:00,19:00:00,505,1.0,No Info,9627
Spicejet,2019-06-01,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No check-in baggage included,3543
Jet Airways,2019-05-12,Kolkata,Banglore,06:30:00,09:20:00,1610,1.0,In-flight meal not included,9663
Jet Airways,2019-04-01,Kolkata,Banglore,16:30:00,04:40:00,730,1.0,In-flight meal not included,7064
Multiple Carriers,2019-05-21,Delhi,Cochin,07:30:00,19:00:00,690,1.0,No Info,9794
Jet Airways,2019-03-12,Banglore,New Delhi,21:25:00,07:40:00,615,1.0,No Info,11717
Jet Airways,2019-03-21,Delhi,Cochin,22:00:00,04:25:00,385,1.0,No Info,12242
Jet Airways,2019-06-12,Kolkata,Banglore,09:35:00,21:05:00,690,1.0,No Info,12692
Air India,2019-05-06,Kolkata,Banglore,20:30:00,08:55:00,745,1.0,No Info,10203
Jet Airways,2019-05-18,Kolkata,Banglore,09:35:00,19:10:00,575,1.0,No Info,13067
Air India,2019-06-09,Delhi,Cochin,09:45:00,23:00:00,795,1.0,No Info,8907
Jet Airways,2019-05-15,Kolkata,Banglore,09:35:00,19:10:00,575,1.0,No Info,13067
Air India,2019-04-01,Kolkata,Banglore,07:00:00,05:25:00,1345,2.0,No Info,12849
Vistara,2019-03-12,Mumbai,Hyderabad,08:45:00,22:55:00,850,1.0,No Info,12080
Spicejet,2019-03-06,Delhi,Cochin,08:45:00,13:15:00,270,1.0,No Info,8488
Air India,2019-05-12,Banglore,Delhi,17:00:00,19:45:00,165,0.0,No Info,5438
Air India,2019-05-09,Delhi,Cochin,05:15:00,19:15:00,2280,3.0,No Info,10703
Jet Airways,2019-06-24,Mumbai,Hyderabad,08:45:00,10:15:00,90,0.0,No Info,8040
Indigo,2019-05-15,Banglore,Delhi,08:30:00,11:20:00,170,0.0,No Info,4823
Air India,2019-06-24,Delhi,Cochin,09:45:00,09:25:00,1420,2.0,No Info,10975
Multiple Carriers,2019-05-21,Delhi,Cochin,11:40:00,01:30:00,830,1.0,No Info,7485
Spicejet,2019-06-01,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No Info,3873
Air India,2019-06-03,Delhi,Cochin,20:40:00,09:25:00,765,1.0,No Info,7480
Jet Airways,2019-05-09,Kolkata,Banglore,17:00:00,14:25:00,1285,1.0,In-flight meal not included,9314
Air India,2019-05-12,Kolkata,Banglore,16:45:00,12:30:00,1185,2.0,No Info,14330
Indigo,2019-05-01,Mumbai,Hyderabad,09:10:00,10:40:00,90,0.0,No Info,4575
Indigo,2019-04-01,Delhi,Cochin,02:00:00,07:25:00,325,1.0,No Info,5164
Air India,2019-05-06,Kolkata,Banglore,05:50:00,23:15:00,1045,2.0,No Info,11883
Jet Airways,2019-05-12,Kolkata,Banglore,21:10:00,09:20:00,730,1.0,No Info,14388
Jet Airways,2019-05-18,Delhi,Cochin,13:25:00,19:00:00,1775,2.0,No Info,16704
Goair,2019-03-06,Delhi,Cochin,10:25:00,19:20:00,535,1.0,No Info,8213
Vistara,2019-05-03,Banglore,Delhi,17:00:00,19:35:00,155,0.0,No Info,5613
Jet Airways,2019-05-18,Kolkata,Banglore,14:05:00,10:05:00,1200,1.0,No Info,14388
Spicejet,2019-06-09,Kolkata,Banglore,17:10:00,19:40:00,150,0.0,No check-in baggage included,3841
Jet Airways,2019-06-01,Delhi,Cochin,11:30:00,19:00:00,450,1.0,No Info,14714
Air India,2019-03-03,Banglore,New Delhi,10:30:00,21:25:00,655,2.0,No Info,11003
Indigo,2019-06-06,Kolkata,Banglore,21:25:00,00:05:00,160,0.0,No Info,4804
Multiple Carriers,2019-05-18,Delhi,Cochin,13:00:00,19:15:00,375,1.0,No Info,14533
Indigo,2019-03-01,Kolkata,Banglore,09:35:00,12:20:00,165,0.0,No Info,6565
Jet Airways,2019-03-06,Delhi,Cochin,19:45:00,19:45:00,1440,1.0,No Info,17024
Air India,2019-05-27,Delhi,Cochin,18:30:00,19:15:00,1485,2.0,No Info,12488
Vistara,2019-03-21,Banglore,New Delhi,06:40:00,21:55:00,915,1.0,No Info,6065
Vistara,2019-05-27,Banglore,Delhi,21:00:00,23:50:00,170,0.0,No Info,4668
Jet Airways,2019-04-01,Kolkata,Banglore,06:30:00,19:50:00,800,1.0,In-flight meal not included,7064
Jet Airways,2019-03-01,Banglore,New Delhi,11:40:00,00:45:00,785,1.0,No Info,26890
Jet Airways,2019-03-03,Delhi,Cochin,18:20:00,04:25:00,2045,2.0,No Info,20747
Air India,2019-06-18,Mumbai,Hyderabad,15:00:00,16:25:00,85,0.0,No Info,3100
Multiple Carriers,2019-03-09,Delhi,Cochin,13:15:00,21:20:00,485,2.0,No Info,11560
Jet Airways,2019-03-18,Banglore,New Delhi,14:05:00,21:20:00,435,1.0,No Info,16946
Jet Airways,2019-05-12,Kolkata,Banglore,08:25:00,08:15:00,1430,1.0,No Info,13941
Spicejet,2019-03-06,Delhi,Cochin,06:10:00,11:20:00,310,1.0,No Info,9748
Jet Airways,2019-06-27,Delhi,Cochin,20:55:00,19:00:00,1325,1.0,In-flight meal not included,10262
Jet Airways,2019-06-15,Delhi,Cochin,09:40:00,04:25:00,1125,2.0,No Info,13014
Spicejet,2019-03-09,Delhi,Cochin,16:35:00,22:50:00,375,1.0,No Info,7084
Indigo,2019-03-03,Kolkata,Banglore,20:25:00,23:05:00,160,0.0,No Info,6038
Jet Airways,2019-05-21,Kolkata,Banglore,20:00:00,18:15:00,1335,1.0,In-flight meal not included,10844
Air Asia,2019-06-27,Kolkata,Banglore,19:55:00,22:25:00,150,0.0,No Info,3807
Jet Airways,2019-05-21,Delhi,Cochin,09:00:00,19:00:00,600,1.0,No Info,16079
Jet Airways,2019-05-06,Kolkata,Banglore,09:35:00,23:35:00,840,1.0,No Info,12121
Spicejet,2019-03-27,Kolkata,Banglore,06:55:00,09:35:00,160,0.0,No check-in baggage included,3815
Jet Airways,2019-05-15,Kolkata,Banglore,09:35:00,23:35:00,840,1.0,No Info,14151
Spicejet,2019-03-21,Mumbai,Hyderabad,13:10:00,14:30:00,80,0.0,No Info,3173
Indigo,2019-06-18,Kolkata,Banglore,15:15:00,17:45:00,150,0.0,No Info,4804
Indigo,2019-06-09,Delhi,Cochin,10:35:00,01:30:00,895,1.0,No Info,6104
Jet Airways,2019-06-01,Delhi,Cochin,08:00:00,19:00:00,660,1.0,In-flight meal not included,10262
Indigo,2019-03-21,Delhi,Cochin,07:35:00,21:20:00,825,2.0,No Info,6494
Indigo,2019-05-03,Kolkata,Banglore,20:20:00,22:55:00,155,0.0,No Info,4804
Spicejet,2019-04-01,Kolkata,Banglore,08:35:00,17:15:00,520,1.0,No Info,6013
Multiple Carriers,2019-06-06,Delhi,Cochin,14:00:00,21:00:00,420,1.0,No Info,13587
Indigo,2019-04-21,Banglore,Delhi,10:10:00,13:00:00,170,0.0,No Info,4591
Multiple Carriers,2019-05-27,Delhi,Cochin,07:05:00,22:30:00,925,1.0,No Info,9856
Jet Airways,2019-03-09,Delhi,Cochin,02:15:00,04:25:00,1570,1.0,In-flight meal not included,11848
Indigo,2019-05-01,Delhi,Cochin,07:30:00,21:00:00,810,1.0,No Info,8542
Vistara,2019-03-24,Kolkata,Banglore,07:10:00,22:10:00,900,1.0,No Info,12942
Air Asia,2019-05-21,Kolkata,Banglore,22:50:00,01:20:00,150,0.0,No Info,4107
Jet Airways,2019-05-09,Kolkata,Banglore,08:25:00,04:40:00,1215,1.0,In-flight meal not included,8586
Air India,2019-06-18,Banglore,Delhi,21:05:00,23:55:00,170,0.0,No Info,5228
Air Asia,2019-06-21,Banglore,Delhi,04:55:00,07:45:00,170,0.0,No Info,4282
Jet Airways,2019-03-01,Banglore,New Delhi,22:50:00,05:05:00,375,1.0,No Info,26890
Indigo,2019-05-06,Chennai,Kolkata,05:15:00,07:40:00,145,0.0,No Info,3540
Air India,2019-03-15,Banglore,New Delhi,11:50:00,08:55:00,1265,1.0,No Info,5932
Indigo,2019-06-12,Delhi,Cochin,11:25:00,01:30:00,845,1.0,No Info,5883
Indigo,2019-03-03,Banglore,New Delhi,01:30:00,04:15:00,165,0.0,No Info,6144
Indigo,2019-06-09,Delhi,Cochin,05:10:00,10:05:00,295,1.0,No Info,6496
Air India,2019-06-03,Delhi,Cochin,16:40:00,19:15:00,1595,2.0,No Info,9968
Indigo,2019-03-27,Delhi,Cochin,02:35:00,08:30:00,355,1.0,No Info,7731
Multiple Carriers,2019-05-15,Delhi,Cochin,08:45:00,19:15:00,630,1.0,No Info,8266
Jet Airways,2019-06-09,Kolkata,Banglore,14:05:00,04:40:00,875,1.0,No Info,14178
Air India,2019-05-06,Mumbai,Hyderabad,19:30:00,20:45:00,75,0.0,No Info,3100
Jet Airways,2019-05-09,Delhi,Cochin,09:40:00,19:00:00,560,2.0,In-flight meal not included,13029
Spicejet,2019-05-27,Chennai,Kolkata,09:45:00,12:00:00,135,0.0,No check-in baggage included,3543
Multiple Carriers,2019-05-18,Delhi,Cochin,06:00:00,21:00:00,900,1.0,No Info,7670
Indigo,2019-06-09,Delhi,Cochin,07:35:00,12:10:00,275,1.0,No Info,5054
Jet Airways,2019-06-01,Delhi,Cochin,21:50:00,04:25:00,395,1.0,No Info,14714
Multiple Carriers,2019-04-09,Delhi,Cochin,17:45:00,01:30:00,465,1.0,No Info,8535
Air India,2019-03-06,Delhi,Cochin,06:10:00,08:15:00,1565,1.0,No Info,11038
Jet Airways,2019-06-24,Delhi,Cochin,05:30:00,04:25:00,1375,2.0,No Info,13014
Jet Airways,2019-05-21,Banglore,Delhi,07:10:00,10:10:00,180,0.0,No Info,7229
Indigo,2019-05-06,Banglore,Delhi,06:05:00,08:50:00,165,0.0,No Info,4423
Jet Airways,2019-03-27,Delhi,Cochin,06:20:00,04:25:00,1325,2.0,No Info,12273
Vistara,2019-03-12,Mumbai,Hyderabad,19:45:00,19:55:00,1450,1.0,No Info,12080
Indigo,2019-05-18,Kolkata,Banglore,21:25:00,00:05:00,160,0.0,No Info,4804
Spicejet,2019-05-27,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No Info,3597
Spicejet,2019-04-12,Kolkata,Banglore,17:10:00,19:40:00,150,0.0,No check-in baggage included,3841
Jet Airways,2019-05-09,Kolkata,Banglore,16:30:00,10:05:00,1055,1.0,No Info,13941
Spicejet,2019-06-03,Banglore,Delhi,21:10:00,00:05:00,175,0.0,No Info,3311
Vistara,2019-06-01,Delhi,Cochin,14:40:00,17:50:00,190,0.0,No Info,6741
Jet Airways,2019-05-18,Kolkata,Banglore,05:45:00,04:40:00,1375,1.0,In-flight meal not included,8586
Air India,2019-06-03,Kolkata,Banglore,20:45:00,23:20:00,155,0.0,No Info,4145
Air India,2019-06-09,Kolkata,Banglore,12:00:00,18:30:00,1830,2.0,No Info,10151
Air India,2019-06-01,Delhi,Cochin,13:15:00,09:25:00,1210,2.0,No Info,10467
Air India,2019-06-24,Delhi,Cochin,19:45:00,19:15:00,1410,2.0,No Info,9443
Indigo,2019-03-06,Delhi,Cochin,06:40:00,12:00:00,320,1.0,No Info,5647
Jet Airways,2019-03-09,Banglore,New Delhi,08:00:00,21:20:00,800,1.0,In-flight meal not included,11087
Jet Airways,2019-05-06,Kolkata,Banglore,06:30:00,09:20:00,1610,1.0,In-flight meal not included,9663
Air India,2019-03-01,Banglore,New Delhi,22:00:00,23:20:00,1520,1.0,Change airports,14305
Jet Airways,2019-06-01,Delhi,Cochin,21:50:00,12:35:00,885,1.0,In-flight meal not included,10262
Multiple Carriers,2019-05-18,Delhi,Cochin,09:45:00,22:30:00,765,1.0,No Info,10348
Indigo,2019-04-27,Banglore,Delhi,23:30:00,02:20:00,170,0.0,No Info,3943
Multiple Carriers,2019-05-21,Delhi,Cochin,09:00:00,19:00:00,600,1.0,No Info,10197
Jet Airways,2019-06-06,Banglore,Delhi,11:10:00,14:05:00,175,0.0,No Info,8016
Indigo,2019-04-06,Kolkata,Banglore,20:20:00,22:55:00,155,0.0,No Info,4174
Multiple Carriers,2019-03-21,Delhi,Cochin,10:20:00,21:00:00,640,1.0,No Info,7215
Jet Airways,2019-03-24,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,No Info,5678
Jet Airways,2019-05-18,Mumbai,Hyderabad,07:05:00,08:30:00,85,0.0,No Info,5678
Indigo,2019-04-27,Banglore,Delhi,01:30:00,04:15:00,165,0.0,No Info,4591
Jet Airways,2019-05-09,Delhi,Cochin,13:25:00,12:35:00,1390,2.0,No Info,16704
Jet Airways,2019-05-09,Banglore,Delhi,15:15:00,18:10:00,175,0.0,In-flight meal not included,4544
Vistara,2019-06-27,Chennai,Kolkata,07:05:00,09:20:00,135,0.0,No Info,3687
Vistara,2019-05-12,Delhi,Cochin,14:40:00,17:50:00,190,0.0,No Info,6216
Jet Airways,2019-05-01,Delhi,Cochin,05:30:00,04:25:00,1375,2.0,No Info,15129
Jet Airways,2019-06-06,Kolkata,Banglore,14:05:00,23:35:00,570,1.0,No Info,14571
Jet Airways,2019-06-21,Mumbai,Hyderabad,08:45:00,10:15:00,90,0.0,In-flight meal not included,4995
Jet Airways,2019-06-12,Kolkata,Banglore,08:25:00,04:40:00,1215,1.0,In-flight meal not included,6224
Air India,2019-03-27,Delhi,Cochin,13:05:00,07:40:00,1115,2.0,No Info,8892
Spicejet,2019-05-12,Banglore,Delhi,09:30:00,12:20:00,170,0.0,No check-in baggage included,4319
Indigo,2019-03-06,Delhi,Cochin,02:35:00,08:30:00,355,1.0,No Info,13790
Indigo,2019-05-21,Banglore,Delhi,00:30:00,03:25:00,175,0.0,No Info,3419
Indigo,2019-05-03,Banglore,Delhi,20:00:00,22:50:00,170,0.0,No Info,4823
Jet Airways,2019-05-01,Banglore,Delhi,15:15:00,18:10:00,175,0.0,In-flight meal not included,4544
Jet Airways,2019-06-09,Delhi,Cochin,21:50:00,04:25:00,395,1.0,In-flight meal not included,10262
Multiple Carriers,2019-05-15,Delhi,Cochin,13:00:00,01:30:00,750,1.0,No Info,13727
Air Asia,2019-05-01,Kolkata,Banglore,15:10:00,23:30:00,500,2.0,No Info,5192
Multiple Carriers,2019-06-24,Delhi,Cochin,09:45:00,16:10:00,385,1.0,No Info,9646
Jet Airways,2019-06-27,Delhi,Cochin,07:05:00,19:00:00,715,1.0,In-flight meal not included,10262
Indigo,2019-03-18,Mumbai,Hyderabad,19:05:00,20:30:00,85,0.0,No Info,2754
Air India,2019-04-12,Kolkata,Banglore,20:45:00,23:20:00,155,0.0,No Info,4460
Indigo,2019-06-03,Chennai,Kolkata,14:45:00,17:05:00,140,0.0,No Info,3597
Multiple Carriers,2019-06-09,Delhi,Cochin,07:05:00,16:10:00,545,1.0,No Info,9646
Multiple Carriers,2019-06-24,Delhi,Cochin,07:30:00,19:15:00,705,1.0,No Info,9001
Air India,2019-03-01,Mumbai,Hyderabad,13:55:00,15:25:00,90,0.0,No Info,10082
Vistara,2019-03-06,Mumbai,Hyderabad,14:40:00,09:25:00,1125,1.0,No Info,12395
Air India,2019-06-01,Delhi,Cochin,22:00:00,19:15:00,1275,2.0,No Info,10441
Air India,2019-04-01,Kolkata,Banglore,20:30:00,12:00:00,930,1.0,No Info,7893
Jet Airways,2019-06-21,Delhi,Cochin,11:00:00,14:15:00,195,0.0,In-flight meal not included,4256
Jet Airways,2019-06-03,Delhi,Cochin,02:15:00,04:25:00,1570,1.0,In-flight meal not included,11627
Indigo,2019-05-24,Kolkata,Banglore,11:30:00,14:05:00,155,0.0,No Info,5224
Air India,2019-03-21,Delhi,Cochin,19:45:00,19:15:00,1410,2.0,No Info,8236
Air India,2019-03-15,Banglore,New Delhi,05:50:00,12:05:00,1815,2.0,No Info,7664
Spicejet,2019-05-03,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No check-in baggage included,3543
Indigo,2019-03-24,Banglore,New Delhi,06:00:00,08:45:00,165,0.0,No Info,4777
Indigo,2019-06-18,Banglore,Delhi,18:25:00,21:20:00,175,0.0,No Info,4823
Multiple Carriers,2019-05-27,Delhi,Cochin,14:00:00,01:30:00,690,1.0,No Info,13377
Jet Airways,2019-03-09,Banglore,New Delhi,19:55:00,22:35:00,160,0.0,No Info,7229
Jet Airways,2019-03-18,Banglore,New Delhi,05:45:00,18:25:00,760,1.0,No Info,12284
Jet Airways,2019-06-06,Delhi,Cochin,22:50:00,19:00:00,1210,1.0,In-flight meal not included,10262
Spicejet,2019-05-12,Kolkata,Banglore,15:55:00,21:25:00,330,1.0,No Info,8844
Indigo,2019-06-27,Banglore,Delhi,04:00:00,06:50:00,170,0.0,No Info,3943
Jet Airways,2019-05-06,Kolkata,Banglore,14:05:00,04:40:00,875,1.0,In-flight meal not included,9663
Multiple Carriers,2019-05-15,Delhi,Cochin,07:00:00,21:00:00,840,1.0,No Info,8073
Jet Airways,2019-05-15,Banglore,Delhi,11:10:00,14:05:00,175,0.0,No Info,7229
Vistara,2019-05-15,Kolkata,Banglore,20:20:00,20:20:00,1440,1.0,No Info,8610
